Date,Closing Price,Daily Tweets,Sentiment Score
2019-08-15,12.41,10.0,0.08943999999999999
2019-08-16,12.88,12.0,0.13025833333333334
2019-08-19,13.23,7.0,0.11457142857142857
2019-08-20,13.74,6.0,0.21713333333333332
2019-08-21,13.57,9.0,0.17756666666666668
2019-08-22,13.28,21.0,0.3525666666666667
2019-08-23,12.73,15.0,0.32661333333333337
2019-08-26,13.15,9.0,0.2799333333333333
2019-08-27,13.02,6.0,0.5438500000000001
2019-08-28,13.16,1.0,-0.3182
2019-08-29,13.19,2.0,0.2787
2019-08-30,12.52,2.0,0.2202
2019-09-03,12.34,6.0,0.2688
2019-09-04,13.27,12.0,0.29971666666666674
2019-09-05,13.38,23.0,0.14386086956521738
2019-09-06,12.75,5.0,0.30858
2019-09-09,12.28,11.0,0.3111181818181818
2019-09-10,12.29,4.0,0.466375
2019-09-11,12.73,3.0,0.14613333333333334
2019-09-12,12.17,18.0,0.17257222222222227
2019-09-13,12.44,4.0,0.09545
2019-09-16,12.94,11.0,0.03021818181818181
2019-09-17,14.5,37.0,0.23911891891891893
2019-09-18,14.41,18.0,0.36257222222222224
2019-09-19,15.09,22.0,0.2380181818181818
2019-09-20,14.7,20.0,0.18452000000000002
2019-09-23,15.01,28.0,0.26243214285714284
2019-09-24,13.81,29.0,0.3367206896551724
2019-09-25,13.83,17.0,0.4137647058823529
2019-09-26,12.49,33.0,0.13460606060606062
2019-09-27,11.45,43.0,0.1590697674418605
2019-09-30,10.97,20.0,0.10173000000000001
2019-10-01,10.39,38.0,0.3517631578947369
2019-10-02,10.15,11.0,0.4950727272727273
2019-10-03,10.35,24.0,0.251325
2019-10-04,10.55,9.0,0.4719333333333333
2019-10-07,10.18,95.0,0.12132210526315793
2019-10-08,10.12,19.0,0.19858421052631575
2019-10-09,9.79,8.0,0.4356875
2019-10-10,9.78,6.0,0.45449999999999996
2019-10-11,9.97,15.0,0.20160666666666666
2019-10-14,9.65,9.0,0.24105555555555552
2019-10-15,9.46,16.0,0.289525
2019-10-16,9.28,17.0,0.28388823529411766
2019-10-17,9.46,16.0,0.1265625
2019-10-18,9.58,14.0,0.06879285714285714
2019-10-21,10.18,17.0,0.20476470588235293
2019-10-22,9.32,24.0,0.2793125
2019-10-23,9.36,26.0,0.17012307692307693
2019-10-24,9.24,88.0,0.049975
2019-10-25,9.21,88.0,0.12958409090909084
2019-10-28,9.32,59.0,0.14321694915254238
2019-10-29,9.41,23.0,0.14447391304347826
2019-10-30,8.4,24.0,0.22097500000000006
2019-10-31,8.76,7.0,0.27545714285714284
2019-11-01,8.82,17.0,0.3072058823529412
2019-11-04,8.3,11.0,0.42799090909090914
2019-11-05,8.53,12.0,0.35585833333333333
2019-11-06,8.73,19.0,0.2818157894736842
2019-11-07,8.47,20.0,0.22928
2019-11-08,8.37,8.0,0.22455
2019-11-11,8.47,11.0,0.2550545454545455
2019-11-12,8.52,10.0,0.31407000000000007
2019-11-13,7.99,11.0,0.3197363636363636
2019-11-14,7.98,14.0,0.3124071428571429
2019-11-15,8.3,11.0,0.06251818181818182
2019-11-18,8.26,11.0,0.2555363636363637
2019-11-19,8.53,18.0,0.2938666666666667
2019-11-20,7.42,10.0,0.23449
2019-11-21,7.15,8.0,0.32510000000000006
2019-11-22,7.2,6.0,0.37865
2019-11-25,7.36,23.0,0.2646130434782609
2019-11-26,7.22,17.0,-0.01428823529411765
2019-11-27,7.58,8.0,0.14623750000000002
2019-11-29,7.49,6.0,0.16685000000000003
2019-12-02,7.28,7.0,0.14584285714285714
2019-12-03,7.43,21.0,0.14554285714285717
2019-12-04,7.37,40.0,0.18888750000000007
2019-12-05,7.09,39.0,-0.011874358974358947
2019-12-06,7.24,34.0,0.16598235294117655
2019-12-09,7.23,14.0,0.23580000000000004
2019-12-10,7.2,10.0,0.13169
2019-12-11,7.56,15.0,0.2536466666666667
2019-12-12,7.54,9.0,0.30344444444444446
2019-12-13,7.67,11.0,0.24525454545454545
2019-12-16,7.91,28.0,0.22515000000000004
2019-12-17,7.89,15.0,0.1111
2019-12-18,7.95,17.0,0.15621764705882354
2019-12-19,7.69,16.0,0.24046875
2019-12-20,7.72,12.0,0.2768083333333334
2019-12-23,7.88,9.0,0.13631111111111113
2019-12-24,8.04,20.0,0.13569499999999998
2019-12-26,8.27,26.0,0.18730000000000002
2019-12-27,7.97,13.0,0.04121538461538462
2019-12-30,7.87,8.0,0.20855
2019-12-31,7.8,15.0,0.2073866666666667
2020-01-02,7.83,17.0,0.351664705882353
2020-01-03,7.37,21.0,0.08219047619047622
2020-01-06,7.47,19.0,-0.002442105263157888
2020-01-07,7.64,9.0,0.1813888888888889
2020-01-08,7.68,7.0,0.18891428571428573
2020-01-09,7.89,14.0,0.19402857142857144
2020-01-10,7.74,13.0,0.3608
2020-01-13,8.41,9.0,0.30914444444444444
2020-01-14,8.65,15.0,0.34804000000000007
2020-01-15,8.63,144.0,0.09727361111111107
2020-01-16,8.79,45.0,0.042693333333333326
2020-01-17,8.77,21.0,0.05091904761904765
2020-01-21,8.77,13.0,0.11523846153846155
2020-01-22,8.72,17.0,0.1443117647058824
2020-01-23,9.06,26.0,0.2697923076923077
2020-01-24,8.78,20.0,0.255055
2020-01-27,8.39,20.0,0.28967000000000004
2020-01-28,8.66,6.0,0.4775333333333333
2020-01-29,8.66,9.0,0.07884444444444444
2020-01-30,8.73,11.0,0.20381818181818182
2020-01-31,8.52,2.0,0.2202
2020-02-03,8.78,17.0,0.2936882352941177
2020-02-04,9.28,17.0,0.15128823529411764
2020-02-05,9.53,16.0,0.20965000000000006
2020-02-06,9.79,19.0,0.10205263157894737
2020-02-07,9.52,12.0,0.1734583333333334
2020-02-10,9.5,9.0,-0.011411111111111111
2020-02-11,9.89,16.0,0.21135
2020-02-12,10.94,39.0,0.23594102564102565
