Year-Week,COENF,DNNGY,DQ,ENPH,FSLR,GCTAY,ORA,RUN,SCTY,SPWR,TSLA,VWDRY
2010-26,4.7,,,,117.09,1.7239999999999998,28.360000000000003,,,12.486,22.220000000000002,14.5
2010-27,4.7,,,,128.285,1.69,28.74,,,13.627500000000001,16.692500000000003,14.5
2010-28,4.7,,,,130.788,1.69,28.426,,,13.982,19.112000000000002,14.5
2010-29,4.7,,,,136.108,1.69,28.109999999999996,,,13.495999999999999,20.944,14.5
2010-30,4.7,,,,134.826,1.69,28.502,,,12.969999999999999,20.502,14.5
2010-31,4.196,,,,128.672,1.69,28.676,,,12.872,20.834000000000003,14.5
2010-32,4.07,,,,126.756,1.69,27.48,,,12.652,18.49,14.5
2010-33,4.07,,,,124.846,1.69,26.78,,,11.366000000000001,18.918,14.5
2010-34,4.07,,,,126.398,1.69,26.887999999999998,,,10.43,19.735999999999997,14.5
2010-35,4.07,,,,131.128,1.69,28.142000000000003,,,11.019499999999999,20.381999999999998,14.5
2010-36,4.07,,,,137.1975,1.69,28.5225,,,11.645,20.58,14.5
2010-37,4.372,,,,142.0,1.69,29.101999999999997,,,12.312,20.998,14.5
2010-38,4.5,,,,145.138,1.69,29.242,,,13.116,20.271000000000004,14.5
2010-39,4.5,,,,148.056,1.69,29.238,,,13.991999999999999,20.982999999999997,14.5
2010-40,4.5,,10.190000000000001,,140.344,1.69,29.868000000000002,,,13.662,20.686,14.5
2010-41,4.5,,12.807999999999998,,140.054,1.69,29.712,,,14.236,20.462,14.5
2010-42,4.5,,12.483999999999998,,145.0,1.69,28.853999999999996,,,13.639999999999997,20.48,14.5
2010-43,4.5,,13.334,,146.88600000000002,1.69,28.472,,,13.738,21.248,14.5
2010-44,4.5,,13.291999999999998,,137.006,1.69,28.156,,,13.738,22.753999999999998,14.5
2010-45,4.5,,14.3038,,139.666,1.69,27.232,,,14.13,27.369,14.5
2010-46,4.536,,12.344,,128.7135,1.69,27.208,,,13.290000000000001,30.168,14.5
2010-47,4.75,,11.699975000000002,,125.33500000000001,1.69,27.099999999999998,,,12.1175,34.69,14.5
2010-48,4.44,,11.294,,126.88999999999999,1.69,27.038,,,12.208000000000002,33.57,14.5
2010-49,4.4,,11.314,,133.9905,1.69,27.98,,,12.996500000000001,31.562,14.5
2010-50,4.4,,10.412,,135.57,1.69,28.298000000000002,,,13.52,30.170000000000005,14.5
2010-51,4.575,,10.1875,,132.21625,1.69,29.125,,,13.26375,31.67,14.5
2010-52,4.87,,10.103800000000001,,130.3,1.69,29.508000000000003,,,13.062000000000001,26.563800000000004,14.5
