Date,Closing Price,Daily Tweets,Pos Sentiment
2016-12-13,3.86,25.0,0.21991999999999998
2016-12-14,3.81,25.0,0.23672
2016-12-15,3.81,16.0,0.13274999999999998
2016-12-16,3.81,19.0,0.18194736842105264
2016-12-19,3.77,10.0,0.1938
2016-12-20,3.77,9.0,0.12022222222222223
2016-12-21,3.77,28.0,0.24578571428571425
2016-12-22,3.77,13.0,0.19653846153846155
2016-12-23,3.77,12.0,0.29000000000000004
2016-12-27,3.77,13.0,0.2044615384615385
2016-12-28,3.77,2.0,0.0
2016-12-29,3.77,8.0,0.167625
2016-12-30,4.0,5.0,0.2426
2017-01-03,4.0,6.0,0.1565
2017-01-04,4.0,17.0,0.14323529411764707
2017-01-05,4.0,30.0,0.22606666666666664
2017-01-06,4.0,21.0,0.11599999999999999
2017-01-09,4.0,28.0,0.15853571428571428
2017-01-10,4.0,16.0,0.17487500000000003
2017-01-11,4.0,18.0,0.18222222222222226
2017-01-12,4.0,10.0,0.16850000000000004
2017-01-13,4.0,19.0,0.23673684210526313
2017-01-17,4.0,25.0,0.14024
2017-01-18,4.0,22.0,0.14722727272727273
2017-01-19,4.0,29.0,0.1876896551724138
2017-01-20,4.0,13.0,0.084
2017-01-23,4.0,16.0,0.115
2017-01-24,4.0,13.0,0.22576923076923075
2017-01-25,4.0,20.0,0.14445000000000002
2017-01-26,4.0,23.0,0.10308695652173913
2017-01-27,4.0,16.0,0.2385625
2017-01-30,4.0,48.0,0.18793749999999995
2017-01-31,4.0,35.0,0.1644857142857143
2017-02-01,4.23,29.0,0.1325862068965517
2017-02-02,4.4,28.0,0.16846428571428573
2017-02-03,4.4,13.0,0.28392307692307694
2017-02-06,4.4,150.0,0.02278
2017-02-07,4.4,37.0,0.11713513513513513
2017-02-08,4.37,13.0,0.20584615384615385
2017-02-09,4.37,25.0,0.21524000000000007
2017-02-10,4.34,27.0,0.23181481481481483
2017-02-13,4.34,21.0,0.3062380952380953
2017-02-14,4.34,33.0,0.23309090909090918
2017-02-15,4.34,28.0,0.2326428571428571
2017-02-16,4.34,21.0,0.15800000000000003
2017-02-17,4.34,19.0,0.1730526315789474
2017-02-21,4.34,25.0,0.14116
2017-02-22,4.34,130.0,0.22998461538461537
2017-02-23,4.34,25.0,0.14908
2017-02-24,4.43,14.0,0.264
2017-02-27,4.45,14.0,0.14435714285714285
2017-02-28,4.43,49.0,0.059857142857142866
2017-03-01,4.49,48.0,0.0350625
2017-03-02,4.52,62.0,0.2518870967741935
2017-03-03,4.54,54.0,0.23487037037037037
2017-03-06,4.54,14.0,0.16071428571428573
2017-03-07,4.54,40.0,0.18417500000000003
2017-03-08,4.54,20.0,0.2061
2017-03-09,4.61,28.0,0.17660714285714288
2017-03-10,4.61,21.0,0.19114285714285714
2017-03-13,4.6,89.0,0.24555056179775284
2017-03-14,4.53,143.0,0.22946153846153838
2017-03-15,4.61,42.0,0.243047619047619
2017-03-16,4.61,31.0,0.1476774193548387
2017-03-17,4.61,11.0,0.16618181818181818
2017-03-20,4.61,33.0,0.15015151515151517
2017-03-21,4.61,21.0,0.21052380952380959
2017-03-22,4.61,22.0,0.18413636363636365
2017-03-23,4.61,20.0,0.30179999999999996
2017-03-24,4.61,11.0,0.23527272727272727
2017-03-27,4.61,26.0,0.21996153846153849
2017-03-28,4.89,14.0,0.11292857142857142
2017-03-29,4.83,24.0,0.18429166666666666
2017-03-30,4.83,18.0,0.2053333333333333
2017-03-31,4.83,32.0,0.15646875
2017-04-03,4.83,77.0,0.1067922077922078
2017-04-04,4.81,77.0,0.08674025974025977
2017-04-05,4.6,51.0,0.1693333333333333
2017-04-06,4.71,60.0,0.26733333333333326
2017-04-07,4.5,43.0,0.2586046511627907
2017-04-10,4.5,22.0,0.20759090909090905
2017-04-11,4.74,27.0,0.19948148148148148
2017-04-12,4.2,26.0,0.2185384615384615
2017-04-13,4.15,26.0,0.28830769230769226
2017-04-17,4.1,6.0,0.31683333333333336
2017-04-18,4.3,21.0,0.2331904761904762
2017-04-19,4.3,17.0,0.15829411764705884
2017-04-20,4.3,17.0,0.20658823529411763
2017-04-21,4.3,18.0,0.23516666666666663
2017-04-24,4.35,34.0,0.28232352941176475
2017-04-25,4.32,31.0,0.18170967741935487
2017-04-26,4.29,47.0,0.14346808510638295
2017-04-27,4.28,27.0,0.20951851851851855
2017-04-28,4.27,23.0,0.17634782608695657
2017-05-01,4.25,26.0,0.11573076923076925
2017-05-02,4.25,31.0,0.15738709677419357
2017-05-03,4.25,42.0,0.18126190476190482
2017-05-04,4.37,57.0,0.22380701754385965
2017-05-05,4.52,21.0,0.2555238095238096
2017-05-08,4.42,22.0,0.1655909090909091
2017-05-09,4.42,77.0,0.16787012987012986
2017-05-10,4.42,32.0,0.21403125
2017-05-11,4.42,30.0,0.20473333333333332
2017-05-12,4.42,32.0,0.18115625
2017-05-15,4.42,31.0,0.21606451612903224
2017-05-16,4.42,21.0,0.18542857142857144
2017-05-17,4.42,22.0,0.25390909090909086
2017-05-18,4.42,32.0,0.181
2017-05-19,4.42,21.0,0.21028571428571427
2017-05-22,4.42,33.0,0.19581818181818184
2017-05-23,4.75,43.0,0.1753953488372093
2017-05-24,4.75,44.0,0.1359318181818182
2017-05-25,4.5,21.0,0.19961904761904758
2017-05-26,4.5,25.0,0.19008
2017-05-30,4.42,23.0,0.17521739130434782
2017-05-31,4.61,43.0,0.19911627906976748
2017-06-01,4.5,48.0,0.1606458333333333
2017-06-02,4.47,42.0,0.22742857142857145
2017-06-05,4.48,39.0,0.23287179487179493
2017-06-06,4.48,50.0,0.22913999999999998
2017-06-07,4.52,38.0,0.2312105263157895
2017-06-08,4.52,39.0,0.16599999999999998
2017-06-09,4.52,30.0,0.15366666666666665
2017-06-12,4.52,22.0,0.13313636363636364
2017-06-13,4.57,31.0,0.294741935483871
2017-06-14,4.57,25.0,0.19168
2017-06-15,4.42,27.0,0.23270370370370372
2017-06-16,4.15,23.0,0.1521304347826087
2017-06-19,4.34,38.0,0.1928421052631579
2017-06-20,4.09,62.0,0.16972580645161287
2017-06-21,4.19,32.0,0.1209375
2017-06-22,4.19,24.0,0.16375000000000003
2017-06-23,4.19,23.0,0.20856521739130435
2017-06-26,4.19,31.0,0.15187096774193548
2017-06-27,4.19,59.0,0.11757627118644069
2017-06-28,4.19,42.0,0.16597619047619053
2017-06-29,4.28,19.0,0.1434736842105263
2017-06-30,4.28,31.0,0.18135483870967742
2017-07-03,4.28,18.0,0.14638888888888887
2017-07-05,4.28,29.0,0.17024137931034486
2017-07-06,4.12,128.0,0.1928515624999999
2017-07-07,4.06,40.0,0.22094999999999998
2017-07-10,4.06,37.0,0.20372972972972975
2017-07-11,4.05,24.0,0.11025
2017-07-12,4.07,20.0,0.20074999999999998
2017-07-13,4.06,33.0,0.17833333333333334
2017-07-14,4.2,56.0,0.11242857142857143
2017-07-17,4.2,38.0,0.14157894736842105
2017-07-18,4.2,70.0,0.06584285714285715
2017-07-19,4.2,74.0,0.10402702702702703
2017-07-20,4.2,47.0,0.14044680851063832
2017-07-21,3.96,73.0,0.1257123287671233
2017-07-24,3.96,41.0,0.1554390243902439
2017-07-25,4.11,39.0,0.1304615384615385
2017-07-26,4.04,48.0,0.10708333333333331
2017-07-27,3.37,52.0,0.06217307692307693
2017-07-28,3.48,29.0,0.12234482758620689
2017-07-31,3.23,23.0,0.1483478260869565
2017-08-01,3.23,19.0,0.19278947368421054
2017-08-02,3.15,13.0,0.2447692307692308
2017-08-03,3.15,45.0,0.2008666666666667
2017-08-04,3.15,32.0,0.22706249999999997
2017-08-07,3.19,27.0,0.19496296296296298
2017-08-08,3.21,72.0,0.0878611111111111
2017-08-09,3.26,62.0,0.11940322580645162
2017-08-10,3.08,27.0,0.11770370370370371
2017-08-11,3.1,22.0,0.07277272727272727
2017-08-14,3.05,12.0,0.20333333333333337
2017-08-15,3.05,25.0,0.1544
2017-08-16,3.05,19.0,0.12110526315789474
2017-08-17,3.05,17.0,0.15164705882352944
2017-08-18,3.05,43.0,0.07779069767441861
2017-08-21,3.05,40.0,0.10810000000000002
2017-08-22,3.0,36.0,0.17572222222222222
2017-08-23,3.0,23.0,0.18486956521739129
2017-08-24,2.97,22.0,0.1234090909090909
2017-08-25,2.97,26.0,0.16484615384615384
2017-08-28,2.89,11.0,0.054636363636363636
2017-08-29,3.11,26.0,0.16434615384615384
2017-08-30,3.11,20.0,0.15635000000000002
2017-08-31,3.11,17.0,0.14305882352941177
2017-09-01,3.11,24.0,0.2504166666666667
2017-09-05,3.08,41.0,0.14985365853658536
