Date,close_fslr,close_gctay,close_run,close_plug,close_spwr,close_mean
2017-10-25,47.39,2.57,5.42,2.67,6.74,12.958000000000002
2017-10-26,47.92,2.62,5.44,2.69,6.68,13.069999999999999
2017-10-27,57.67,2.68,5.62,2.75,7.03,15.15
2017-10-30,60.43,2.68,5.72,2.73,7.16,15.744
2017-10-31,54.82,2.91,5.74,2.85,7.12,14.688000000000002
2017-11-01,57.21,2.91,5.74,2.82,7.13,15.161999999999997
2017-11-02,57.87,2.92,5.69,2.89,8.25,15.524000000000001
2017-11-03,59.87,2.78,5.65,2.87,8.64,15.962
2017-11-06,61.47,2.76,6.13,3.15,8.79,16.46
2017-11-07,60.96,2.57,5.86,3.06,8.59,16.208000000000002
2017-11-08,61.79,2.6,5.89,2.58,8.72,16.316
2017-11-09,60.54,2.54,6.24,2.51,8.56,16.078
2017-11-10,61.59,2.48,5.83,2.55,8.7,16.23
2017-11-13,61.57,2.33,6.07,2.42,8.67,16.212
2017-11-14,61.28,2.3,6.17,2.28,8.36,16.078
2017-11-15,60.6,2.41,6.08,2.25,8.33,15.934000000000001
2017-11-16,60.35,2.41,6.04,2.31,8.12,15.846000000000004
2017-11-17,60.18,2.32,6.05,2.32,7.96,15.765999999999996
2017-11-20,61.06,2.35,6.02,2.38,7.98,15.958000000000002
2017-11-21,60.24,2.3,5.92,2.47,7.91,15.767999999999997
2017-11-22,60.51,2.29,5.92,2.39,8.03,15.828
2017-11-24,60.61,2.2,5.93,2.39,8.06,15.838000000000003
2017-11-27,61.65,2.21,6.08,2.33,8.24,16.101999999999997
2017-11-28,62.13,2.5,5.73,2.35,8.63,16.267999999999997
2017-11-29,60.02,2.5,5.56,2.29,8.21,15.716000000000003
2017-11-30,62.1,2.5,5.6,2.37,8.26,16.166
2017-12-01,60.3,2.52,5.44,2.51,7.87,15.728000000000003
2017-12-04,57.27,2.46,5.49,2.36,7.085,14.932999999999998
2017-12-05,61.21,2.46,5.56,2.33,7.45,15.802000000000001
2017-12-06,63.24,2.46,5.56,2.34,7.63,16.246000000000002
2017-12-07,68.43,2.65,5.67,2.38,8.1,17.446
2017-12-08,70.02,2.65,5.73,2.41,8.34,17.830000000000002
2017-12-11,70.05,2.56,5.8,2.43,9.23,18.014000000000003
2017-12-12,68.91,2.52,5.69,2.38,8.68,17.635999999999996
2017-12-13,68.48,2.57,5.69,2.39,8.59,17.544
2017-12-14,67.89,2.66,5.86,2.32,8.99,17.543999999999997
2017-12-15,68.96,2.66,6.06,2.36,9.37,17.881999999999998
2017-12-18,70.63,2.85,6.07,2.38,9.42,18.269999999999996
2017-12-19,69.15,2.85,5.99,2.42,9.1,17.901999999999997
2017-12-20,68.69,2.8,6.07,2.41,8.9,17.774
2017-12-21,69.11,2.8,6.05,2.46,9.07,17.897999999999996
2017-12-22,68.85,2.85,6.02,2.42,9.04,17.835999999999995
2017-12-26,68.04,2.7,5.84,2.4,8.69,17.534000000000002
2017-12-27,68.84,2.7,5.87,2.41,8.79,17.722
2017-12-28,68.35,2.7,6.07,2.43,8.68,17.646000000000004
2017-12-29,67.52,2.68,5.9,2.36,8.43,17.378000000000004
2018-01-02,70.43,2.85,5.92,2.42,8.97,18.118000000000002
