Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2017-03-21,36,193,193,193,4.8
2017-03-22,84,231,231,231,4.98
2017-03-23,41,194,194,194,4.84
2017-03-24,28,212,212,212,4.91
2017-03-27,12,156,156,156,4.94
2017-03-28,25,178,178,178,5.08
2017-03-29,94,237,237,237,5.26
2017-03-30,95,268,268,268,5.22
2017-03-31,53,199,199,199,5.4
2017-04-03,79,249,249,249,5.28
2017-04-04,64,295,295,295,5.22
2017-04-05,40,1015,1015,1015,5.03
2017-04-06,33,630,630,630,5.18
2017-04-07,31,263,263,263,5.34
2017-04-10,22,523,523,523,5.54
2017-04-11,35,417,417,417,5.46
2017-04-12,52,368,368,368,5.33
2017-04-13,34,209,209,209,5.23
2017-04-17,26,249,249,249,5.3
2017-04-18,42,257,257,257,5.19
2017-04-19,43,222,222,222,5.16
2017-04-20,42,183,183,183,5.12
2017-04-21,42,226,226,226,5.12
2017-04-24,138,330,330,330,5.27
2017-04-25,70,322,322,322,5.42
2017-04-26,48,312,312,312,5.32
2017-04-27,32,233,233,233,5.33
2017-04-28,41,157,157,157,5.29
2017-05-01,62,224,224,224,5.38
2017-05-02,36,349,349,349,5.21
2017-05-03,180,536,536,536,4.75
2017-05-04,132,386,386,386,4.71
2017-05-05,57,230,230,230,4.86
2017-05-08,38,182,182,182,4.92
2017-05-09,57,466,466,466,4.9
2017-05-10,68,349,349,349,5.09
2017-05-11,65,225,225,225,5.0
2017-05-12,59,204,204,204,4.87
2017-05-15,22,151,151,151,4.905
2017-05-16,23,111,111,111,4.9
2017-05-17,67,248,248,248,4.81
2017-05-18,87,295,295,295,4.9
2017-05-19,77,229,229,229,5.05
2017-05-22,204,325,325,325,4.9
2017-05-23,93,281,281,281,4.89
2017-05-24,80,307,307,307,4.92
2017-05-25,131,291,291,291,4.91
2017-05-26,107,232,232,232,4.94
2017-05-30,71,270,270,270,5.02
2017-05-31,51,195,195,195,5.04
2017-06-01,80,208,208,208,5.13
2017-06-02,88,222,222,222,5.12
2017-06-05,129,256,256,256,5.0
2017-06-06,179,319,319,319,5.02
2017-06-07,82,280,280,280,4.93
2017-06-08,53,274,274,274,5.34
2017-06-09,51,206,206,206,5.41
2017-06-12,49,179,179,179,5.44
2017-06-13,52,198,198,198,5.48
2017-06-14,26,117,117,117,5.49
2017-06-15,36,172,172,172,5.52
2017-06-16,80,306,306,306,5.74
2017-06-19,96,284,284,284,5.85
2017-06-20,119,284,284,284,6.36
2017-06-21,63,229,229,229,6.52
2017-06-22,88,412,412,412,6.65
2017-06-23,92,335,335,335,6.75
2017-06-26,64,234,234,234,6.83
2017-06-27,40,229,229,229,6.89
2017-06-28,64,301,301,301,7.1
2017-06-29,70,199,199,199,7.27
2017-06-30,96,262,262,262,7.12
2017-07-03,33,134,134,134,7.24
2017-07-05,26,191,191,191,6.8
2017-07-06,23,276,276,276,6.75
2017-07-07,21,156,156,156,6.79
2017-07-10,49,207,207,207,6.89
2017-07-11,30,187,187,187,6.87
2017-07-12,36,298,298,298,7.06
2017-07-13,54,292,292,292,6.99
2017-07-14,24,213,213,213,7.07
2017-07-17,48,200,200,200,7.01
2017-07-18,30,298,298,298,7.14
2017-07-19,72,413,413,413,7.27
2017-07-20,53,225,225,225,7.25
2017-07-21,31,529,529,529,7.29
2017-07-24,71,325,325,325,7.56
2017-07-25,31,215,215,215,7.35
2017-07-26,27,212,212,212,7.3
2017-07-27,52,364,364,364,7.37
2017-07-28,25,410,410,410,7.48
2017-07-31,27,232,232,232,7.53
2017-08-01,15,231,231,231,7.44
2017-08-02,24,286,286,286,7.19
2017-08-03,29,209,209,209,7.24
2017-08-04,19,133,133,133,7.27
2017-08-07,87,277,277,277,7.42
2017-08-08,105,372,372,372,7.05
2017-08-09,50,219,219,219,6.84
2017-08-10,51,165,165,165,6.69
2017-08-11,24,126,126,126,6.82
2017-08-14,26,160,160,160,6.96
2017-08-15,28,163,163,163,6.94
2017-08-16,24,132,132,132,6.84
2017-08-17,29,120,120,120,6.65
2017-08-18,25,117,117,117,6.85
2017-08-21,98,219,219,219,6.7
2017-08-22,30,161,161,161,6.71
2017-08-23,50,134,134,134,6.94
2017-08-24,250,337,337,337,7.59
2017-08-25,193,282,282,282,6.91
2017-08-28,48,120,120,120,6.93
2017-08-29,49,168,168,168,6.83
2017-08-30,103,222,222,222,6.78
2017-08-31,33,112,112,112,6.7
2017-09-01,24,121,121,121,6.77
2017-09-05,21,197,197,197,6.92
2017-09-06,30,167,167,167,7.07
2017-09-07,29,107,107,107,7.15
2017-09-08,27,179,179,179,7.04
2017-09-11,49,186,186,186,6.92
2017-09-12,82,218,218,218,6.94
2017-09-13,35,323,323,323,6.83
2017-09-14,36,233,233,233,6.86
2017-09-15,28,309,309,309,6.72
2017-09-18,12,273,273,273,6.44
2017-09-19,16,297,297,297,6.05
2017-09-20,31,478,478,478,6.02
2017-09-21,45,379,379,379,5.47
2017-09-22,40,432,432,432,5.59
2017-09-25,34,208,208,208,5.19
2017-09-26,19,279,279,279,5.4
2017-09-27,20,255,255,255,5.63
2017-09-28,57,179,179,179,5.53
2017-09-29,46,205,205,205,5.55
2017-10-02,23,159,159,159,5.53
2017-10-03,33,231,231,231,5.65
2017-10-04,26,203,203,203,5.63
2017-10-05,22,171,171,171,5.54
2017-10-06,29,202,202,202,5.58
2017-10-09,38,222,222,222,5.43
2017-10-10,29,168,168,168,5.45
2017-10-11,23,203,203,203,5.47
2017-10-12,56,203,203,203,5.39
2017-10-13,90,216,216,216,5.52
2017-10-16,44,136,136,136,5.49
2017-10-17,34,142,142,142,5.54
2017-10-18,34,137,137,137,5.54
2017-10-19,66,151,151,151,5.46
2017-10-20,59,194,194,194,5.57
2017-10-23,51,169,169,169,5.37
2017-10-24,68,192,192,192,5.44
2017-10-25,29,179,179,179,5.42
2017-10-26,51,328,328,328,5.44
2017-10-27,36,438,438,438,5.62
2017-10-30,23,215,215,215,5.72
2017-10-31,30,428,428,428,5.74
2017-11-01,37,256,256,256,5.74
